. tab in_network_files

                       in_network_files |      Freq.     Percent        Cum.
----------------------------------------+-----------------------------------
SAME_arizona-hmo_SAME2JivVAdC2spAIEr3.. |         83        3.02        3.02
SAME_arkansas-hmo_SAME2JPqwiSLnhCrhXg.. |         14        0.51        3.53
SAME_atlanta-hmo_SAME2I~nPH61uiZ5yhBX.. |         27        0.98        4.51
SAME_carelink-national-oap-ntwk-ii_SA.. |         45        1.64        6.15
SAME_carelink_SAME2omkXh0VxYtPjvb8xRZ.. |         56        2.04        8.19
SAME_central-florida-network-seamless.. |          1        0.04        8.22
SAME_chicago-il-connect-network_SAME2.. |         14        0.51        8.73
SAME_chicago-il-plus-network_SAME2HLk.. |          2        0.07        8.81
SAME_cigna-open-access-hmo-pos_SAME2W.. |          3        0.11        8.92
SAME_cigna-surefit-central-florida_SA.. |         15        0.55        9.46
SAME_cigna-surefit-kansas-city_SAME2L.. |          1        0.04        9.50
SAME_cigna-surefit-saint-louis_SAME2o.. |          1        0.04        9.53
SAME_cigna-surefit-south-florida_SAME.. |         10        0.36        9.90
SAME_cigna-surefit-with-arizona-care-.. |          1        0.04        9.93
SAME_cigna-surefit-with-the-performan.. |         15        0.55       10.48
SAME_cigna-tn-select_SAME2hYysqRFy3oL.. |          5        0.18       10.66
SAME_coh-limited-for-prov-selection_S.. |          1        0.04       10.70
SAME_colorado-hmo_SAME2qfjZQsTaxMStoC.. |         32        1.16       11.86
SAME_colorado-select-network_SAME2nGT.. |         10        0.36       12.23
SAME_denver-co-connect-network_SAME3e.. |          3        0.11       12.34
SAME_florida-connect_SAME3q-EZus-CoBi.. |          3        0.11       12.45
SAME_florida-hmo_SAME3PsnGiaLRVNAXggB.. |         61        2.22       14.67
SAME_ft-myers-hmo_SAME3O-wyHK7OvcDqi0.. |          1        0.04       14.70
SAME_ga-ifp-connect_SAME3js43qfJnDriq.. |          3        0.11       14.81
SAME_georgia-gppo_SAME3L~LP1Bsi2SDOKT.. |         17        0.62       15.43
SAME_georgia-hmo_SAME3hrdguclXNZ~lnwO.. |         16        0.58       16.01
SAME_health-care-alliance-of-the-fron.. |          3        0.11       16.12
SAME_healthpartners-qualified-network.. |         25        0.91       17.03
SAME_houston-commercial_SAME3jbw99G3~.. |          3        0.11       17.14
SAME_houston-flexcare_SAME3dguUFvCgD6.. |          2        0.07       17.21
SAME_jacksonville-hmo_SAME3FOXRvBS98F.. |          1        0.04       17.25
SAME_kansas-city-mo-connect_SAME3Uy0j.. |         30        1.09       18.34
SAME_kelseycare-network_SAME3cuHnvoWt.. |         11        0.40       18.74
SAME_localplus-sar_SAME3PbooGNpQ~UkmG.. |          1        0.04       18.78
SAME_localplus_SAME3R9l7SaOXHvbq2sznL.. |        180        6.55       25.33
SAME_louisville-gppo_SAME3TZjBLkeA3uB.. |          9        0.33       25.66
SAME_metro-new-york-gppo_SAME3K0NP~VA.. |         38        1.38       27.04
SAME_metro-ny-seamless-hmo-network_SA.. |          1        0.04       27.07
SAME_mid-atlantic-hmo_SAME3MH2hUGU-DZ.. |         42        1.53       28.60
SAME_ms-ifp-connect_SAME3KeI2jweAxpwz.. |         10        0.36       28.97
SAME_mvp-mohawk-valley-physicians_SAM.. |         39        1.42       30.39
SAME_nashville-and-tricities-tn-conne.. |          1        0.04       30.42
SAME_national-oap_SAME3GQUiH7SrLCSVd0.. |      1,300       47.31       77.73
SAME_national-ppo-sar-1_SAME3fzdKyCFn.. |          2        0.07       77.80
SAME_national-ppo-sar-ii_SAME3TQPKcdw.. |          1        0.04       77.84
SAME_national-ppo_SAME3gq~U3NAoS12Ml7.. |         33        1.20       79.04
SAME_nc-connect-hmo-rural_SAME3bh1BuP.. |         11        0.40       79.44
SAME_oap-shared-admin-repricing_SAME3.. |          1        0.04       79.48
SAME_orlando-ipa-hmo_SAME3hZFQ1hLumbK.. |          4        0.15       79.62
SAME_pathwell-oap_SAME3R3aEt1ZRWWbCPp.. |          2        0.07       79.69
SAME_pathwell-ppo_SAME3ZQEj8VTlyhindA.. |          1        0.04       79.73
SAME_pennsylvania-connect_SAME3V6xp9Z.. |         18        0.66       80.39
SAME_phoenix-az-connect_SAME3GttcDO4b.. |          3        0.11       80.49
SAME_ppo-carelink-sar_SAME3SMG5tO2U-q.. |          1        0.04       80.53
SAME_priority-health-alliance_SAME3Ok.. |         36        1.31       81.84
SAME_raleigh-durham-nc-hmo-connect_SA.. |          2        0.07       81.91
SAME_richmond-and-northern-va-oap-con.. |          3        0.11       82.02
SAME_saint-louis-mo-connect-network_S.. |          3        0.11       82.13
SAME_salt-lake-city-ut-connect_SAME2K.. |          1        0.04       82.17
SAME_san-francisco-sacramento-hmo_SAM.. |        123        4.48       86.64
SAME_south-florida-hmo_SAME2PZ2PvRRCx.. |          4        0.15       86.79
SAME_south-texas-gppo_SAME3HQiDF-g2vF.. |         23        0.84       87.63
SAME_south-texas-hmo_SAME2n~xi7yjx58e.. |         44        1.60       89.23
SAME_southern-ca-hmo_SAME3mTKtk8Wozhp.. |        132        4.80       94.03
SAME_southern-ca-select-network_SAME2.. |         89        3.24       97.27
SAME_southern-ca-value-network_SAME2P.. |         16        0.58       97.85
SAME_tennesse-connect_SAME2A-qp1-bxcr.. |          1        0.04       97.89
SAME_tennesse-gppo_SAME2VJgvsyt2uBgMK.. |         20        0.73       98.62
SAME_tn-hm0-hmo-pos-seamless_SAME3Zm5.. |         26        0.95       99.56
SAME_wichita-ks-connect_SAME2cy97mqYK.. |         12        0.44      100.00
----------------------------------------+-----------------------------------
                                  Total |      2,748      100.00
