NPI,TIN,TYPE,NEGOTIATION_ARRANGEMENT,BILLING_CODE_TYPE,BILLING_CODE,NEGOTIATED_TYPE,NEGOTIATED_RATE,BILLING_CLASS
1538161583,204620955,ein,ffs,CPT,99213,negotiated,68.59,professional
1699770446,050563039,ein,ffs,CPT,99213,negotiated,61.81,professional
1770696817,200123946,ein,ffs,CPT,99213,negotiated,227.09,professional
1861742124,222164755,ein,ffs,CPT,99213,negotiated,37.74,professional
1285715664,451298643,ein,ffs,CPT,99213,negotiated,75.52,professional
1215292628,621239776,ein,ffs,CPT,99213,negotiated,68.47,professional
1659513158,061745397,ein,ffs,CPT,99213,negotiated,466.8,professional
1629398169,061745397,ein,ffs,CPT,99213,negotiated,466.8,professional
1366481897,061745397,ein,ffs,CPT,99213,negotiated,466.8,professional
1225085582,061745397,ein,ffs,CPT,99213,negotiated,466.8,professional
1336597335,061745397,ein,ffs,CPT,99213,negotiated,466.8,professional
1508074063,461814274,ein,ffs,CPT,99213,negotiated,76.06,professional
1033345921,362167060,ein,ffs,CPT,99213,negotiated,137.67,professional
1831298439,113080269,ein,ffs,CPT,99213,negotiated,52.83,professional
1154439586,272268928,ein,ffs,CPT,99213,negotiated,257.48,professional
1770541211,272268928,ein,ffs,CPT,99213,negotiated,257.48,professional
1003086166,272268928,ein,ffs,CPT,99213,negotiated,257.48,professional
1154365278,272268928,ein,ffs,CPT,99213,negotiated,257.48,professional
1124050141,272268928,ein,ffs,CPT,99213,negotiated,257.48,professional
1679757561,272268928,ein,ffs,CPT,99213,negotiated,257.48,professional
1629394952,272268928,ein,ffs,CPT,99213,negotiated,257.48,professional
1649227828,272268928,ein,ffs,CPT,99213,negotiated,257.48,professional
1528032208,272268928,ein,ffs,CPT,99213,negotiated,257.48,professional
1205297942,272268928,ein,ffs,CPT,99213,negotiated,257.48,professional
1518055672,272268928,ein,ffs,CPT,99213,negotiated,257.48,professional
1841248721,272268928,ein,ffs,CPT,99213,negotiated,257.48,professional
1851501183,272268928,ein,ffs,CPT,99213,negotiated,257.48,professional
1912995085,272268928,ein,ffs,CPT,99213,negotiated,257.48,professional
1972779262,272268928,ein,ffs,CPT,99213,negotiated,257.48,professional
1285622381,272268928,ein,ffs,CPT,99213,negotiated,257.48,professional
1548358591,272268928,ein,ffs,CPT,99213,negotiated,257.48,professional
1952516007,272268928,ein,ffs,CPT,99213,negotiated,257.48,professional
1770552648,061744704,ein,ffs,CPT,99213,negotiated,144.96,professional
1366502601,911925983,ein,ffs,CPT,99213,negotiated,75.03,professional
1093717381,461940724,ein,ffs,CPT,99213,negotiated,57.05,professional
1093811002,202972550,ein,ffs,CPT,99213,negotiated,204.2,professional
1457390080,710415642,ein,ffs,CPT,99213,negotiated,88.29,professional
1760614655,203261266,ein,ffs,CPT,99213,negotiated,227.09,professional
1255389847,270970402,ein,ffs,CPT,99213,negotiated,53.76,professional
1205868205,824221439,ein,ffs,CPT,99213,negotiated,234.57,professional
1740711308,824221439,ein,ffs,CPT,99213,negotiated,234.57,professional
1649247149,720970581,ein,ffs,CPT,99213,negotiated,100.66,professional
1508810771,201425195,ein,ffs,CPT,99213,negotiated,75.52,professional
1720080369,815371566,ein,ffs,CPT,99213,negotiated,100.11,professional
1043248701,410745522,ein,ffs,CPT,99213,negotiated,73.19,professional
1326220559,870663587,ein,ffs,CPT,99213,negotiated,100.11,professional
1255311825,261358524,ein,ffs,CPT,99213,negotiated,289.73,professional
1023002565,364143823,ein,ffs,CPT,99213,negotiated,94.2,professional
1073574232,412101361,ein,ffs,CPT,99213,negotiated,73.64,professional
1285674531,204473802,ein,ffs,CPT,99213,negotiated,53.76,professional
1386690592,204473802,ein,ffs,CPT,99213,negotiated,53.76,professional
1457647893,582234927,ein,ffs,CPT,99213,negotiated,122.39,professional
1841251766,751558325,ein,ffs,CPT,99213,negotiated,50,professional
1144458670,486030115,ein,ffs,CPT,99213,negotiated,144.51,professional
1104349950,030417452,ein,ffs,CPT,99213,negotiated,87.53,professional
1346792660,030417452,ein,ffs,CPT,99213,negotiated,87.53,professional
1528409612,030417452,ein,ffs,CPT,99213,negotiated,87.53,professional
1114316635,030417452,ein,ffs,CPT,99213,negotiated,87.53,professional
1730178880,581661116,ein,ffs,CPT,99213,negotiated,66.27,professional
1205050655,860444866,ein,ffs,CPT,99213,negotiated,80.48,professional
1285176636,473219674,ein,ffs,CPT,99213,negotiated,42.7,professional
1316550932,473219674,ein,ffs,CPT,99213,negotiated,42.7,professional
1831595362,273037441,ein,ffs,CPT,99213,negotiated,44.33,professional
1184068181,391139101,ein,ffs,CPT,99213,negotiated,108.08,professional
1750603130,390816845,ein,ffs,CPT,99213,negotiated,74.03,professional
1730332073,390816845,ein,ffs,CPT,99213,negotiated,74.03,professional
1609167584,351693695,ein,ffs,CPT,99213,negotiated,40.34,professional
1356797948,351693695,ein,ffs,CPT,99213,negotiated,40.34,professional
