Plan_name,Plan_ID,Plan_ID_Type,INDEX_JSON,NETWORK_NUM
fox---fox-co--lpa_oh-humana-npos-lfp-17-rx4,['311187759'],['ein'],['2022-10-28_FOX-FOX-CO-LPA_index.json'],['1']
remax-state-line_ks-humana-ppo-lfp-17-rx5coins,['480963487'],['ein'],['2022-10-31_REMAX-STATE-LINE_index.json'],['6']
robert-h-altomare-dds_ks-humana-ppo-lfp-19-copay-rx4,['481169152'],['ein'],['2022-10-31_ROBERT-H-ALTOMARE-DDS_index.json'],['6']
john-payne-co-inc_ga-humana-npos-lfp-19-simplici,['581085319'],['ein'],['2022-10-28_JOHN-PAYNE-CO-INC_index.json'],['1']
front-range-seamless-gutters-inc-_co-humana-npos-lfp-17-rx4,['841213245'],['ein'],['2022-10-28_FRONT-RANGE-SEAMLESS-GUTTERS-INC-_index.json'],['1']
phoenix-renovation_ks-humana-ppo-lfp-19-ehdhp,['481216146'],['ein'],['2022-10-31_PHOENIX-RENOVATION_index.json'],['6']
phoenix-renovation_ks-humana-ppo-lfp-19-copay-rx5,['481216146'],['ein'],['2022-10-31_PHOENIX-RENOVATION_index.json'],['6']
phoenix-renovation_ks-humana-ppo-lfp-19-copay-rx4,['481216146'],['ein'],['2022-10-31_PHOENIX-RENOVATION_index.json'],['6']
allied-precision-fabricat_tx-lfp-on-hand-npos-coins-19-d,['741935130'],['ein'],['2022-10-28_ALLIED-PRECISION-FABRICAT_index.json'],['1']
deverus_tx-humana-npos-lfp-19-ehdhp,['742950732'],['ein'],['2022-10-28_DEVERUS_index.json'],['1']
deverus_tx-humana-npos-lfp-19-copay-rx,['742950732'],['ein'],['2022-10-28_DEVERUS_index.json'],['1']
baker-storey-mcdonald_tn-humana-ppo-lfp-19-ehdhp,['611406787'],['ein'],['2022-10-28_BAKER-STOREY-MCDONALD_index.json'],['6']
american-heat-treating-lf_oh-humana-npos-lfp-19-copay-rx,['202080718'],['ein'],['2022-10-28_AMERICAN-HEAT-TREATING-LF_index.json'],['1']
mccaddon-cadillac-buick_co-humana-npos-lfp-19-simplici,['840473270'],['ein'],['2022-10-28_MCCADDON-CADILLAC-BUICK_index.json'],['1']
mccaddon-cadillac-buick_co-humana-npos-lfp-19-ehdhp,['840473270'],['ein'],['2022-10-28_MCCADDON-CADILLAC-BUICK_index.json'],['1']
defensive-training-system_ga-humana-npos-lfp-19-ehdhp,['581923159'],['ein'],['2022-10-28_DEFENSIVE-TRAINING-SYSTEM_index.json'],['1']
be-electrical-contractors_ga-humana-npos-lfp-19-copay-rx,['581830740'],['ein'],['2022-10-28_BE-ELECTRICAL-CONTRACTORS_index.json'],['1']
be-electrical-contractors_ga-humana-hmo-lfp-19-canopy-rx,['581830740'],['ein'],['2022-10-28_BE-ELECTRICAL-CONTRACTORS_index.json'],['2']
