NPI,TIN,TYPE,NEGOTIATION_ARRANGEMENT,BILLING_CODE_TYPE,BILLING_CODE,NEGOTIATED_TYPE,NEGOTIATED_RATE,BILLING_CLASS
1841672490,310823056,ein,ffs,CPT,99213,negotiated,264.87,professional
1215997143,630683364,ein,ffs,CPT,99213,negotiated,41.0,professional
1497704175,630683364,ein,ffs,CPT,99213,negotiated,41.0,professional
1538273941,650581847,ein,ffs,CPT,99213,negotiated,62.19,professional
1912012394,650581847,ein,ffs,CPT,99213,negotiated,62.19,professional
1376658757,650581847,ein,ffs,CPT,99213,negotiated,62.19,professional
1104864693,383793664,ein,ffs,CPT,99213,negotiated,59.05,professional
1184907289,300807116,ein,ffs,CPT,99213,negotiated,70.69,professional
1255303863,237246265,ein,ffs,CPT,99213,negotiated,85.74,professional
1083706147,200780248,ein,ffs,CPT,99213,negotiated,52.4,professional
1831213438,363261413,ein,ffs,CPT,99213,negotiated,64.51,professional
1053507616,383134514,ein,ffs,CPT,99213,negotiated,52.86,professional
1558331249,383134514,ein,ffs,CPT,99213,negotiated,52.86,professional
1902244361,383134514,ein,ffs,CPT,99213,negotiated,52.86,professional
1356586408,383134514,ein,ffs,CPT,99213,negotiated,52.86,professional
1972916187,383134514,ein,ffs,CPT,99213,negotiated,52.86,professional
1174895171,383134514,ein,ffs,CPT,99213,negotiated,52.86,professional
1528472008,383134514,ein,ffs,CPT,99213,negotiated,52.86,professional
1356764617,383134514,ein,ffs,CPT,99213,negotiated,52.86,professional
1336377225,383134514,ein,ffs,CPT,99213,negotiated,52.86,professional
1093035735,383134514,ein,ffs,CPT,99213,negotiated,52.86,professional
1437591286,383134514,ein,ffs,CPT,99213,negotiated,52.86,professional
1760434641,383134514,ein,ffs,CPT,99213,negotiated,52.86,professional
1093053522,463026520,ein,ffs,CPT,99213,negotiated,65.65,professional
1104052372,363451422,ein,ffs,CPT,99213,negotiated,50.69,professional
1093180481,271428070,ein,ffs,CPT,99213,negotiated,86.4,professional
1124791405,271428070,ein,ffs,CPT,99213,negotiated,86.4,professional
1003208497,271428070,ein,ffs,CPT,99213,negotiated,86.4,professional
