Plan_ID,Plan_name,Plan_ID_Type,INDEX_JSON,NETWORK_NUM
264484971,['southeastern-liquidators_ga-humana-npos-lfp-19-copay-rx'],['ein'],['2022-10-31_SOUTHEASTERN-LIQUIDATORS_index.json'],['1']
581984287,"['weight-loss-enterprises_ga-humana-npos-lfp-17-rx4', 'weight-loss-enterprises_ga-humana-hmo-lfp-ehdhp-17']",['ein'],['2022-11-01_WEIGHT-LOSS-ENTERPRISES_index.json'],"['1', '2']"
746001936,['humana-inc_poteet-isd-onhand-npos'],['ein'],['2022-10-27_humana-inc-poteet-isd-onhand-npos_index.json'],['1']
900056293,['bay-area-heating-and-coolin_fl-humana-hmo-lfp-17-rx5copay'],['ein'],['2022-10-28_BAY-AREA-HEATING-AND-COOLIN_index.json'],['2']
740650996,['government-employee-fcu_tx-humana-npos-lfp-19-copay-rx'],['ein'],['2022-10-28_GOVERNMENT-EMPLOYEE-FCU_index.json'],['1']
208815589,['matthews-landscape_la-humana-ppo-lfp-19-copay-rx4'],['ein'],['2022-10-28_MATTHEWS-LANDSCAPE_index.json'],['6']
843677048,['ember-capital-group-llc_ga-humana-npos-lfp-19-copay-rx'],['ein'],['2022-10-28_EMBER-CAPITAL-GROUP-LLC_index.json'],['1']
030590473,['roofing-atlanta-inc_ga-humana-npos-lfp-19-copay-rx'],['ein'],['2022-10-31_ROOFING-ATLANTA-INC_index.json'],['1']
043617793,"['schmidt-heating-cooling_oh-humana-npos-lfp-19-copay-rx', 'schmidt-heating-cooling_oh-humana-npos-lfp-19-ehdhp']",['ein'],['2022-10-31_SCHMIDT-HEATING-COOLING_index.json'],['1']
472276905,"['laborde-earles-law-firm_la-humana-ppo-lfp-19-copay-rx4', 'laborde-earles-law-firm_la-humana-ppo-lfp-19-simplicit']",['ein'],['2022-10-28_LABORDE-EARLES-LAW-FIRM_index.json'],['6']
460768879,"['sunsmart-technologies-llc_mo-humana-ppo-lfp-19-ehdhp', 'sunsmart-technologies-llc_mo-humana-ppo-lfp-19-simplicit', 'sunsmart-technologies-llc_mo-humana-ppo-lfp-19-copay-rx4']",['ein'],['2022-10-31_SUNSMART-TECHNOLOGIES-LLC_index.json'],['6']
454247476,"['green-circle-demolition_ga-humana-hmo-lfp-19-copay-rx5', 'green-circle-demolition_ga-humana-npos-lfp-19-simplici']",['ein'],['2022-10-28_GREEN-CIRCLE-DEMOLITION_index.json'],"['1', '2']"
0453163971,['echler-electric-llc_aso-grp-gate-cap-exc'],['ein'],['2022-10-28_ECHLER-ELECTRIC-LLC_index.json'],['9']
453163971,['echler-electric-llc_oh-humana-npos-lfp-19-simplici'],['ein'],['2022-10-28_ECHLER-ELECTRIC-LLC_index.json'],['1']
363594625,['humana-inc_il-sg-choice-pos-ehdhp-10-ded-'],['ein'],['2022-10-27_humana-inc-il-sg-choice-pos-ehdhp-10-ded-_index.json'],['38']
272344284,['jon-brian-contracting_ga-humana-npos-lfp-17-rx4'],['ein'],['2022-10-28_JON-BRIAN-CONTRACTING_index.json'],['1']
611253977,['humana-inc_ky-sg-humana-cov-1st-08-cpay-o'],['ein'],['2022-10-27_humana-inc-ky-sg-humana-cov-1st-08-cpay-o_index.json'],['6']
453678367,"['360-electrical-contrac-lf_tx-lfp-on-hand-npos-cpy-oa-19', '360-electrical-contrac-lf_tx-humana-npos-lfp-19-ehdhp']",['ein'],['2022-10-28_360-ELECTRICAL-CONTRAC-LF_index.json'],['1']
391263473,"['shafer-insurance-agency_tn-humana-ppo-lfp-19-ehdhp', 'shafer-insurance-agency_tn-humana-ppo-lfp-19-simplicit']",['ein'],['2022-10-31_SHAFER-INSURANCE-AGENCY_index.json'],['6']
390467980,['humana-inc_wi-lg-humana-ppo08-sep-acc-cpy'],['ein'],['2022-10-27_humana-inc-wi-lg-humana-ppo08-sep-acc-cpy_index.json'],['6']
743001925,"['christopher-avalos_tx-humana-hmo-lfp-19-copay-rx4', 'christopher-avalos_tx-humana-hmo-lfp-19-canopy-rx']",['ein'],['2022-10-28_CHRISTOPHER-AVALOS_index.json'],['2']
