NPI,TIN,TYPE,NEGOTIATION_ARRANGEMENT,BILLING_CODE_TYPE,BILLING_CODE,NEGOTIATED_TYPE,NEGOTIATED_RATE,BILLING_CLASS
1841353174,205432275,ein,ffs,CPT,99213,negotiated,116.98,professional
1972576320,010594994,ein,ffs,CPT,99213,negotiated,116.81,professional
1760634505,010594994,ein,ffs,CPT,99213,negotiated,116.81,professional
1528049293,741996568,ein,ffs,CPT,99213,negotiated,192.6,professional
1225020076,271320706,ein,ffs,CPT,99213,negotiated,108.71,professional
1407328024,208372444,ein,ffs,CPT,99213,negotiated,57,professional
1699907170,270504565,ein,ffs,CPT,99213,negotiated,75.53,professional
1144555871,270504565,ein,ffs,CPT,99213,negotiated,75.53,professional
1205105541,270504565,ein,ffs,CPT,99213,negotiated,75.53,professional
1588854848,362246719,ein,ffs,CPT,99213,negotiated,195.95,professional
1619165248,631174164,ein,ffs,CPT,99213,negotiated,31.42,professional
1871571018,311724085,ein,ffs,CPT,99213,negotiated,67.41,professional
1497771448,232856393,ein,ffs,CPT,99213,negotiated,59.32,professional
1801875679,362704297,ein,ffs,CPT,99213,negotiated,115.25,professional
1245219641,362704297,ein,ffs,CPT,99213,negotiated,115.25,professional
1285662585,112552321,ein,ffs,CPT,99213,negotiated,128.34,professional
1114213428,205415285,ein,ffs,CPT,99213,negotiated,135.98,professional
1467421412,205117093,ein,ffs,CPT,99213,negotiated,119.44,professional
1457809907,813675748,ein,ffs,CPT,99213,negotiated,75.53,professional
1447419619,571004971,ein,ffs,CPT,99213,negotiated,216.25,professional
1457587461,260348503,ein,ffs,CPT,99213,negotiated,63.22,professional
1295710960,870631360,ein,ffs,CPT,99213,negotiated,88.52,professional
1568451201,741109643,ein,ffs,CPT,99213,negotiated,35.01,professional
1063409555,200806853,ein,ffs,CPT,99213,negotiated,106.29,professional
1780647313,770333732,ein,ffs,CPT,99213,negotiated,69.3,professional
1982902888,750818167,ein,ffs,CPT,99213,negotiated,71.48,professional
1275635427,231365971,ein,ffs,CPT,99213,negotiated,229.99,professional
1871617274,020702951,ein,ffs,CPT,99213,negotiated,158.65,professional
1033237284,272704564,ein,ffs,CPT,99213,negotiated,76.99,professional
1811950538,751041154,ein,ffs,CPT,99213,negotiated,141.84,professional
1255506341,751041154,ein,ffs,CPT,99213,negotiated,141.84,professional
1033401559,751041154,ein,ffs,CPT,99213,negotiated,141.84,professional
1962662726,751041154,ein,ffs,CPT,99213,negotiated,141.84,professional
1700242906,751041154,ein,ffs,CPT,99213,negotiated,141.84,professional
1750548590,751041154,ein,ffs,CPT,99213,negotiated,141.84,professional
1689698946,751041154,ein,ffs,CPT,99213,negotiated,141.84,professional
1265661508,751041154,ein,ffs,CPT,99213,negotiated,141.84,professional
1457371114,204881619,ein,ffs,CPT,99213,negotiated,38.73,professional
1972614378,204881619,ein,ffs,CPT,99213,negotiated,38.73,professional
1710029178,204881619,ein,ffs,CPT,99213,negotiated,38.73,professional
1053349597,593810010,ein,ffs,CPT,99213,negotiated,86.73,professional
1548275902,264709927,ein,ffs,CPT,99213,negotiated,110.81,professional
1629366166,200401785,ein,ffs,CPT,99213,negotiated,64.38,professional
1295046589,200401785,ein,ffs,CPT,99213,negotiated,64.38,professional
1871699322,621564718,ein,ffs,CPT,99213,negotiated,42,professional
1821321175,203858572,ein,ffs,CPT,99213,negotiated,58.25,professional
1124468129,273356564,ein,ffs,CPT,99213,negotiated,102.65,professional
1861471583,273356564,ein,ffs,CPT,99213,negotiated,102.65,professional
1043205644,273356564,ein,ffs,CPT,99213,negotiated,102.65,professional
1336565563,273356564,ein,ffs,CPT,99213,negotiated,102.65,professional
1952423881,273356564,ein,ffs,CPT,99213,negotiated,102.65,professional
1306812250,043665151,ein,ffs,CPT,99213,negotiated,88.65,professional
1952385866,352084504,ein,ffs,CPT,99213,negotiated,49.58,professional
1730730581,581348766,ein,ffs,CPT,99213,negotiated,93.37,professional
1710357926,581348766,ein,ffs,CPT,99213,negotiated,93.37,professional
1891131942,581348766,ein,ffs,CPT,99213,negotiated,93.37,professional
1770810061,581348766,ein,ffs,CPT,99213,negotiated,93.37,professional
1013974369,822185743,ein,ffs,CPT,99213,negotiated,55.33,professional
1386873073,263562727,ein,ffs,CPT,99213,negotiated,113.22,professional
1255605044,272910393,ein,ffs,CPT,99213,negotiated,73.19,professional
1275800740,264337397,ein,ffs,CPT,99213,negotiated,65.08,professional
